symbol,nse,bse,tradingview
20MICRONS,20MICRONS,,NSE:20MICRONS
21STCENMGM,21STCENMGM,,NSE:21STCENMGM
360ONE,360ONE,,NSE:360ONE
3IINFOLTD,3IINFOLTD,,NSE:3IINFOLTD
3MINDIA,3MINDIA,,NSE:3MINDIA
3PLAND,3PLAND,,NSE:3PLAND
5PAISA,5PAISA,,NSE:5PAISA
63MOONS,63MOONS,,NSE:63MOONS
A2ZINFRA,A2ZINFRA,,NSE:A2ZINFRA
AAATECH,AAATECH,,NSE:AAATECH
AADHARHFC,AADHARHFC,,NSE:AADHARHFC
AAKASH,AAKASH,,NSE:AAKASH
AAREYDRUGS,AAREYDRUGS,,NSE:AAREYDRUGS
AARNAV,AARNAV,,NSE:AARNAV
AARON,AARON,,NSE:AARON
AARTECH,AARTECH,,NSE:AARTECH
AARTIDRUGS,AARTIDRUGS,,NSE:AARTIDRUGS
AARTIIND,AARTIIND,,NSE:AARTIIND
AARTIPHARM,AARTIPHARM,,NSE:AARTIPHARM
AARTISURF,AARTISURF,,NSE:AARTISURF
AARVI,AARVI,,NSE:AARVI
AAVAS,AAVAS,,NSE:AAVAS
ABAN,ABAN,,NSE:ABAN
ABB,ABB,,NSE:ABB
ABBOTINDIA,ABBOTINDIA,,NSE:ABBOTINDIA
ABCAPITAL,ABCAPITAL,,NSE:ABCAPITAL
ABCOTS,ABCOTS,,NSE:ABCOTS
ABDL,ABDL,,NSE:ABDL
ABFRL,ABFRL,,NSE:ABFRL
ABINFRA,ABINFRA,,NSE:ABINFRA
ABLBL,ABLBL,,NSE:ABLBL
ABMINTLLTD,ABMINTLLTD,,NSE:ABMINTLLTD
ABREL,ABREL,,NSE:ABREL
ABSLAMC,ABSLAMC,,NSE:ABSLAMC
ACC,ACC,,NSE:ACC
ACCELYA,ACCELYA,,NSE:ACCELYA
ACCURACY,ACCURACY,,NSE:ACCURACY
ACE,ACE,,NSE:ACE
ACEINTEG,ACEINTEG,,NSE:ACEINTEG
ACI,ACI,,NSE:ACI
ACL,ACL,,NSE:ACL
ACMESOLAR,ACMESOLAR,,NSE:ACMESOLAR
ACUTAAS,ACUTAAS,,NSE:ACUTAAS
ADANIENSOL,ADANIENSOL,,NSE:ADANIENSOL
ADANIENT,ADANIENT,,NSE:ADANIENT
ADANIGREEN,ADANIGREEN,,NSE:ADANIGREEN
ADANIPORTS,ADANIPORTS,,NSE:ADANIPORTS
ADANIPOWER,ADANIPOWER,,NSE:ADANIPOWER
ADFFOODS,ADFFOODS,,NSE:ADFFOODS
ADL,ADL,,NSE:ADL
ADOR,ADOR,,NSE:ADOR
ADROITINFO,ADROITINFO,,NSE:ADROITINFO
ADSL,ADSL,,NSE:ADSL
ADVAIT,ADVAIT,,NSE:ADVAIT
ADVANCE,ADVANCE,,NSE:ADVANCE
ADVANIHOTR,ADVANIHOTR,,NSE:ADVANIHOTR
ADVENTHTL,ADVENTHTL,,NSE:ADVENTHTL
ADVENZYMES,ADVENZYMES,,NSE:ADVENZYMES
AEGISLOG,AEGISLOG,,NSE:AEGISLOG
AEGISVOPAK,AEGISVOPAK,,NSE:AEGISVOPAK
AEPL,AEPL,,NSE:AEPL
AEQUS,AEQUS,,NSE:AEQUS
AEROENTER,AEROENTER,,NSE:AEROENTER
AEROFLEX,AEROFLEX,,NSE:AEROFLEX
AERONEU,AERONEU,,NSE:AERONEU
AETHER,AETHER,,NSE:AETHER
AFCONS,AFCONS,,NSE:AFCONS
AFFLE,AFFLE,,NSE:AFFLE
AFFORDABLE,AFFORDABLE,,NSE:AFFORDABLE
AFIL,AFIL,,NSE:AFIL
AFSL,AFSL,,NSE:AFSL
AGARIND,AGARIND,,NSE:AGARIND
AGARWALEYE,AGARWALEYE,,NSE:AGARWALEYE
AGI,AGI,,NSE:AGI
AGIIL,AGIIL,,NSE:AGIIL
AGRITECH,AGRITECH,,NSE:AGRITECH
AGROPHOS,AGROPHOS,,NSE:AGROPHOS
AGSTRA,AGSTRA,,NSE:AGSTRA
AHCL,AHCL,,NSE:AHCL
AHLADA,AHLADA,,NSE:AHLADA
AHLEAST,AHLEAST,,NSE:AHLEAST
AHLUCONT,AHLUCONT,,NSE:AHLUCONT
AIAENG,AIAENG,,NSE:AIAENG
AIIL,AIIL,,NSE:AIIL
AIRAN,AIRAN,,NSE:AIRAN
AIROLAM,AIROLAM,,NSE:AIROLAM
AJANTPHARM,AJANTPHARM,,NSE:AJANTPHARM
AJAXENGG,AJAXENGG,,NSE:AJAXENGG
AJMERA,AJMERA,,NSE:AJMERA
AJOONI,AJOONI,,NSE:AJOONI
AKASH,AKASH,,NSE:AKASH
AKG,AKG,,NSE:AKG
AKI,AKI,,NSE:AKI
AKSHAR,AKSHAR,,NSE:AKSHAR
AKSHARCHEM,AKSHARCHEM,,NSE:AKSHARCHEM
AKSHOPTFBR,AKSHOPTFBR,,NSE:AKSHOPTFBR
AKUMS,AKUMS,,NSE:AKUMS
AKZOINDIA,AKZOINDIA,,NSE:AKZOINDIA
ALANKIT,ALANKIT,,NSE:ALANKIT
ALBERTDAVD,ALBERTDAVD,,NSE:ALBERTDAVD
ALEMBICLTD,ALEMBICLTD,,NSE:ALEMBICLTD
ALGOQUANT,ALGOQUANT,,NSE:ALGOQUANT
ALICON,ALICON,,NSE:ALICON
ALIVUS,ALIVUS,,NSE:ALIVUS
ALKALI,ALKALI,,NSE:ALKALI
ALKEM,ALKEM,,NSE:ALKEM
ALKYLAMINE,ALKYLAMINE,,NSE:ALKYLAMINE
ALLCARGO,ALLCARGO,,NSE:ALLCARGO
ALLDIGI,ALLDIGI,,NSE:ALLDIGI
ALLTIME,ALLTIME,,NSE:ALLTIME
ALMONDZ,ALMONDZ,,NSE:ALMONDZ
ALOKINDS,ALOKINDS,,NSE:ALOKINDS
ALPA,ALPA,,NSE:ALPA
ALPHAGEO,ALPHAGEO,,NSE:ALPHAGEO
AMAGI,AMAGI,,NSE:AMAGI
AMANTA,AMANTA,,NSE:AMANTA
AMBER,AMBER,,NSE:AMBER
AMBICAAGAR,AMBICAAGAR,,NSE:AMBICAAGAR
AMBIKCO,AMBIKCO,,NSE:AMBIKCO
AMBUJACEM,AMBUJACEM,,NSE:AMBUJACEM
AMDIND,AMDIND,,NSE:AMDIND
AMJLAND,AMJLAND,,NSE:AMJLAND
AMNPLST,AMNPLST,,NSE:AMNPLST
AMRUTANJAN,AMRUTANJAN,,NSE:AMRUTANJAN
ANANDRATHI,ANANDRATHI,,NSE:ANANDRATHI
ANANTRAJ,ANANTRAJ,,NSE:ANANTRAJ
ANDHRAPAP,ANDHRAPAP,,NSE:ANDHRAPAP
ANDHRSUGAR,ANDHRSUGAR,,NSE:ANDHRSUGAR
ANGELONE,ANGELONE,,NSE:ANGELONE
ANIKINDS,ANIKINDS,,NSE:ANIKINDS
ANKITMETAL,ANKITMETAL,,NSE:ANKITMETAL
ANMOL,ANMOL,,NSE:ANMOL
ANSALAPI,ANSALAPI,,NSE:ANSALAPI
ANTELOPUS,ANTELOPUS,,NSE:ANTELOPUS
ANTGRAPHIC,ANTGRAPHIC,,NSE:ANTGRAPHIC
ANTHEM,ANTHEM,,NSE:ANTHEM
ANUHPHR,ANUHPHR,,NSE:ANUHPHR
ANUP,ANUP,,NSE:ANUP
ANURAS,ANURAS,,NSE:ANURAS
APARINDS,APARINDS,,NSE:APARINDS
APCL,APCL,,NSE:APCL
